,0
0,0.5
1,0.5
2,0.5
3,0.5
4,0.5
5,0.5
6,0.5
7,0.5
8,0.5
9,0.5
10,0.5
11,0.6
12,0.6
13,0.6
14,0.6
15,0.6
16,0.6
17,0.6
18,0.6
19,0.6
20,0.6
21,0.6
22,0.7
23,0.7
24,0.7
25,0.7
26,0.7
27,0.7
28,0.7
29,0.7
30,0.7
31,0.7
32,0.7
33,0.8
34,0.8
35,0.8
36,0.8
37,0.8
38,0.8
39,0.8
40,0.8
41,0.8
42,0.8
43,0.8
44,0.9
45,0.9
46,0.9
47,0.9
48,0.9
49,0.9
50,0.9
51,0.9
52,0.9
53,0.9
54,0.9
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.1
67,1.1
68,1.1
69,1.1
70,1.1
71,1.1
72,1.1
73,1.1
74,1.1
75,1.1
76,1.1
77,1.2000000000000002
78,1.2000000000000002
79,1.2000000000000002
80,1.2000000000000002
81,1.2000000000000002
82,1.2000000000000002
83,1.2000000000000002
84,1.2000000000000002
85,1.2000000000000002
86,1.2000000000000002
87,1.2000000000000002
88,1.3
89,1.3
90,1.3
91,1.3
92,1.3
93,1.3
94,1.3
95,1.3
96,1.3
97,1.3
98,1.3
99,1.4
100,1.4
101,1.4
102,1.4
103,1.4
104,1.4
105,1.4
106,1.4
107,1.4
108,1.4
109,1.4
110,1.5
111,1.5
112,1.5
113,1.5
114,1.5
115,1.5
116,1.5
117,1.5
118,1.5
119,1.5
120,1.5
