,0
0,750.0
1,900.0
2,1050.0
3,1200.0
4,1350.0
5,1500.0
6,1650.0000000000002
7,1800.0000000000002
8,1950.0
9,2100.0
10,2250.0
11,750.0
12,900.0
13,1050.0
14,1200.0
15,1350.0
16,1500.0
17,1650.0000000000002
18,1800.0000000000002
19,1950.0
20,2100.0
21,2250.0
22,750.0
23,900.0
24,1050.0
25,1200.0
26,1350.0
27,1500.0
28,1650.0000000000002
29,1800.0000000000002
30,1950.0
31,2100.0
32,2250.0
33,750.0
34,900.0
35,1050.0
36,1200.0
37,1350.0
38,1500.0
39,1650.0000000000002
40,1800.0000000000002
41,1950.0
42,2100.0
43,2250.0
44,750.0
45,900.0
46,1050.0
47,1200.0
48,1350.0
49,1500.0
50,1650.0000000000002
51,1800.0000000000002
52,1950.0
53,2100.0
54,2250.0
55,750.0
56,900.0
57,1050.0
58,1200.0
59,1350.0
60,1500.0
61,1650.0000000000002
62,1800.0000000000002
63,1950.0
64,2100.0
65,2250.0
66,750.0
67,900.0
68,1050.0
69,1200.0
70,1350.0
71,1500.0
72,1650.0000000000002
73,1800.0000000000002
74,1950.0
75,2100.0
76,2250.0
77,750.0
78,900.0
79,1050.0
80,1200.0
81,1350.0
82,1500.0
83,1650.0000000000002
84,1800.0000000000002
85,1950.0
86,2100.0
87,2250.0
88,750.0
89,900.0
90,1050.0
91,1200.0
92,1350.0
93,1500.0
94,1650.0000000000002
95,1800.0000000000002
96,1950.0
97,2100.0
98,2250.0
99,750.0
100,900.0
101,1050.0
102,1200.0
103,1350.0
104,1500.0
105,1650.0000000000002
106,1800.0000000000002
107,1950.0
108,2100.0
109,2250.0
110,750.0
111,900.0
112,1050.0
113,1200.0
114,1350.0
115,1500.0
116,1650.0000000000002
117,1800.0000000000002
118,1950.0
119,2100.0
120,2250.0
