,0
0,1.3
1,1.3
2,1.3
3,1.3
4,1.3
5,1.3
6,1.3
7,1.3
8,1.3
9,1.3
10,1.3
11,1.3
12,1.3
13,1.3
14,1.3
15,1.3
16,1.3
17,1.3
18,1.3
19,1.3
20,1.3
21,1.3
22,1.3
23,1.3
24,1.3
25,1.3
26,1.3
27,1.3
28,1.3
29,1.3
30,1.3
31,1.3
32,1.3
33,1.3
34,1.3
35,1.3
36,1.3
37,1.3
38,1.3
39,1.3
40,1.3
41,1.3
42,1.3
43,1.3
44,1.3
45,1.3
46,1.3
47,1.3
48,1.3
49,1.3
50,1.3
51,1.3
52,1.3
53,1.3
54,1.3
55,1.3
56,1.3
57,1.3
58,1.3
59,1.3
60,1.3
61,1.3
62,1.3
63,1.3
64,1.3
65,1.3
66,1.3
67,1.3
68,1.3
69,1.3
70,1.3
71,1.3
72,1.3
73,1.3
74,1.3
75,1.3
76,1.3
77,1.3
78,1.3
79,1.3
80,1.3
81,1.3
82,1.3
83,1.3
84,1.3
85,1.3
86,1.3
87,1.3
88,1.3
89,1.3
90,1.3
91,1.3
92,1.3
93,1.3
94,1.3
95,1.3
96,1.3
97,1.3
98,1.3
99,1.3
100,1.3
101,1.3
102,1.3
103,1.3
104,1.3
105,1.3
106,1.3
107,1.3
108,1.3
109,1.3
110,1.3
111,1.3
112,1.3
113,1.3
114,1.3
115,1.3
116,1.3
117,1.3
118,1.3
119,1.3
120,1.3
121,1.3
122,1.3
123,1.3
124,1.3
125,1.3
126,1.3
127,1.3
128,1.3
129,1.3
130,1.3
131,1.3
132,1.3
133,1.3
134,1.3
135,1.3
136,1.3
137,1.3
138,1.3
139,1.3
140,1.3
141,1.3
142,1.3
143,1.3
144,1.3
145,1.3
146,1.3
147,1.3
148,1.3
149,1.3
150,1.3
151,1.3
152,1.3
153,1.3
154,1.3
155,1.3
156,1.3
157,1.3
158,1.3
159,1.3
160,1.3
161,1.3
162,1.3
163,1.3
164,1.3
165,1.3
166,1.3
167,1.3
168,1.3
169,1.3
170,1.3
171,1.3
172,1.3
173,1.3
174,1.3
175,1.3
176,1.3
177,1.3
178,1.3
179,1.3
180,1.3
181,1.3
182,1.3
183,1.3
184,1.3
185,1.3
186,1.3
187,1.3
188,1.3
189,1.3
190,1.3
191,1.3
192,1.3
193,1.3
194,1.3
195,1.3
196,1.3
197,1.3
198,1.3
199,1.3
200,1.3
201,1.3
202,1.3
203,1.3
204,1.3
205,1.3
206,1.3
207,1.3
208,1.3
209,1.3
210,1.3
211,1.3
212,1.3
213,1.3
214,1.3
215,1.3
216,1.3
217,1.3
218,1.3
219,1.3
220,1.3
221,1.3
222,1.3
223,1.3
224,1.3
225,1.3
226,1.3
227,1.3
228,1.3
229,1.3
230,1.3
231,1.3
232,1.3
233,1.3
234,1.3
235,1.3
236,1.3
237,1.3
238,1.3
239,1.3
240,1.3
241,1.3
242,1.3
243,1.3
244,1.3
245,1.3
246,1.3
247,1.3
248,1.3
249,1.3
250,1.3
251,1.3
252,1.3
253,1.3
254,1.3
255,1.3
256,1.3
257,1.3
258,1.3
259,1.3
260,1.3
261,1.3
262,1.3
263,1.3
264,1.3
265,1.3
266,1.3
267,1.3
268,1.3
269,1.3
270,1.3
271,1.3
272,1.3
273,1.3
274,1.3
275,1.3
276,1.3
277,1.3
278,1.3
279,1.3
280,1.3
281,1.3
282,1.3
