,0
0,1.65
1,1.65
2,1.65
3,1.65
4,1.65
5,1.65
6,1.65
7,1.65
8,1.65
9,1.65
10,1.65
11,1.65
12,1.65
13,1.65
14,1.65
15,1.65
16,1.65
17,1.65
18,1.65
19,1.65
20,1.65
21,1.65
22,1.65
23,1.65
24,1.65
25,1.65
26,1.65
27,1.65
28,1.65
29,1.65
30,1.65
31,1.65
32,1.65
33,1.65
34,1.65
35,1.65
36,1.65
37,1.65
38,1.65
39,1.65
40,1.65
41,1.65
42,1.65
43,1.65
44,1.65
45,1.65
46,1.65
47,1.65
48,1.65
49,1.65
50,1.65
51,1.65
52,1.65
53,1.65
54,1.65
55,1.65
56,1.65
57,1.65
58,1.65
59,1.65
60,1.65
61,1.65
62,1.65
63,1.65
64,1.65
65,1.65
66,1.65
67,1.65
68,1.65
69,1.65
70,1.65
71,1.65
72,1.65
73,1.65
74,1.65
75,1.65
76,1.65
77,1.65
78,1.65
79,1.65
80,1.65
81,1.65
82,1.65
83,1.65
84,1.65
85,1.65
86,1.65
87,1.65
88,1.65
89,1.65
90,1.65
91,1.65
92,1.65
93,1.65
94,1.65
95,1.65
96,1.65
97,1.65
98,1.65
99,1.65
100,1.65
101,1.65
102,1.65
103,1.65
104,1.65
105,1.65
106,1.65
107,1.65
108,1.65
109,1.65
110,1.65
111,1.65
112,1.65
113,1.65
114,1.65
115,1.65
116,1.65
117,1.65
118,1.65
119,1.65
120,1.65
121,1.65
122,1.65
123,1.65
124,1.65
125,1.65
126,1.65
127,1.65
128,1.65
129,1.65
130,1.65
131,1.65
132,1.65
133,1.65
134,1.65
135,1.65
136,1.65
137,1.65
138,1.65
139,1.65
140,1.65
141,1.65
142,1.65
143,1.65
144,1.65
145,1.65
146,1.65
147,1.65
148,1.65
149,1.65
150,1.65
151,1.65
152,1.65
153,1.65
154,1.65
155,1.65
156,1.65
157,1.65
158,1.65
159,1.65
160,1.65
161,1.65
162,1.65
163,1.65
164,1.65
165,1.65
166,1.65
167,1.65
168,1.65
169,1.65
170,1.65
171,1.65
172,1.65
173,1.65
174,1.65
175,1.65
176,1.65
177,1.65
178,1.65
179,1.65
180,1.65
181,1.65
182,1.65
183,1.65
184,1.65
185,1.65
186,1.65
187,1.65
188,1.65
189,1.65
190,1.65
191,1.65
192,1.65
193,1.65
194,1.65
195,1.65
196,1.65
197,1.65
198,1.65
199,1.65
200,1.65
201,1.65
202,1.65
203,1.65
204,1.65
205,1.65
206,1.65
207,1.65
208,1.65
209,1.65
210,1.65
211,1.65
212,1.65
213,1.65
214,1.65
215,1.65
216,1.65
217,1.65
218,1.65
219,1.65
220,1.65
221,1.65
222,1.65
223,1.65
224,1.65
225,1.65
226,1.65
227,1.65
228,1.65
229,1.65
230,1.65
231,1.65
232,1.65
233,1.65
234,1.65
235,1.65
236,1.65
237,1.65
238,1.65
239,1.65
240,1.65
241,1.65
242,1.65
243,1.65
244,1.65
245,1.65
246,1.65
247,1.65
248,1.65
249,1.65
250,1.65
251,1.65
252,1.65
253,1.65
254,1.65
255,1.65
256,1.65
257,1.65
258,1.65
259,1.65
260,1.65
261,1.65
262,1.65
263,1.65
264,1.65
265,1.65
266,1.65
267,1.65
268,1.65
269,1.65
270,1.65
271,1.65
272,1.65
273,1.65
274,1.65
275,1.65
276,1.65
277,1.65
278,1.65
279,1.65
280,1.65
281,1.65
282,1.65
283,1.65
284,1.65
285,1.65
286,1.65
287,1.65
288,1.65
289,1.65
290,1.65
291,1.65
292,1.65
293,1.65
294,1.65
295,1.65
296,1.65
297,1.65
298,1.65
299,1.65
300,1.65
301,1.65
302,1.65
303,1.65
304,1.65
305,1.65
306,1.65
307,1.65
308,1.65
309,1.65
310,1.65
311,1.65
312,1.65
313,1.65
314,1.65
315,1.65
316,1.65
317,1.65
318,1.65
319,1.65
320,1.65
321,1.65
322,1.65
323,1.65
324,1.65
325,1.65
326,1.65
327,1.65
328,1.65
329,1.65
330,1.65
331,1.65
332,1.65
333,1.65
334,1.65
335,1.65
336,1.65
337,1.65
338,1.65
339,1.65
340,1.65
341,1.65
342,1.65
343,1.65
344,1.65
345,1.65
346,1.65
347,1.65
348,1.65
349,1.65
350,1.65
351,1.65
352,1.65
353,1.65
354,1.65
355,1.65
356,1.65
357,1.65
358,1.65
359,1.65
360,1.65
361,1.65
362,1.65
363,1.65
364,1.65
365,1.65
366,1.65
367,1.65
368,1.65
369,1.65
370,1.65
371,1.65
372,1.65
373,1.65
374,1.65
375,1.65
376,1.65
377,1.65
378,1.65
379,1.65
380,1.65
381,1.65
382,1.65
383,1.65
384,1.65
385,1.65
386,1.65
387,1.65
388,1.65
389,1.65
390,1.65
391,1.65
392,1.65
393,1.65
