,0
0,1.8
1,1.8
2,1.8
3,1.8
4,1.8
5,1.8
6,1.8
7,1.8
8,1.8
9,1.8
10,1.8
11,1.8
12,1.8
13,1.8
14,1.8
15,1.8
16,1.8
17,1.8
18,1.8
19,1.8
20,1.8
21,1.8
22,1.8
23,1.8
24,1.8
25,1.8
26,1.8
27,1.8
28,1.8
29,1.8
30,1.8
31,1.8
32,1.8
33,1.8
34,1.8
35,1.8
36,1.8
37,1.8
38,1.8
39,1.8
40,1.8
41,1.8
42,1.8
43,1.8
44,1.8
45,1.8
46,1.8
47,1.8
48,1.8
49,1.8
50,1.8
51,1.8
52,1.8
53,1.8
54,1.8
55,1.8
56,1.8
57,1.8
58,1.8
59,1.8
60,1.8
61,1.8
62,1.8
63,1.8
64,1.8
65,1.8
66,1.8
67,1.8
68,1.8
69,1.8
70,1.8
71,1.8
72,1.8
73,1.8
74,1.8
75,1.8
76,1.8
77,1.8
78,1.8
79,1.8
80,1.8
81,1.8
82,1.8
83,1.8
84,1.8
85,1.8
86,1.8
87,1.8
88,1.8
89,1.8
90,1.8
91,1.8
92,1.8
93,1.8
94,1.8
95,1.8
96,1.8
97,1.8
98,1.8
99,1.8
100,1.8
101,1.8
102,1.8
103,1.8
104,1.8
105,1.8
106,1.8
107,1.8
108,1.8
109,1.8
110,1.8
111,1.8
112,1.8
113,1.8
114,1.8
115,1.8
116,1.8
117,1.8
118,1.8
119,1.8
120,1.8
121,1.8
122,1.8
123,1.8
124,1.8
125,1.8
126,1.8
127,1.8
128,1.8
129,1.8
130,1.8
131,1.8
132,1.8
133,1.8
134,1.8
135,1.8
136,1.8
137,1.8
138,1.8
139,1.8
140,1.8
141,1.8
142,1.8
143,1.8
144,1.8
145,1.8
146,1.8
147,1.8
148,1.8
149,1.8
150,1.8
151,1.8
152,1.8
153,1.8
154,1.8
155,1.8
156,1.8
157,1.8
158,1.8
159,1.8
160,1.8
161,1.8
162,1.8
163,1.8
164,1.8
165,1.8
166,1.8
167,1.8
168,1.8
169,1.8
170,1.8
171,1.8
172,1.8
173,1.8
174,1.8
175,1.8
176,1.8
177,1.8
178,1.8
179,1.8
180,1.8
181,1.8
182,1.8
183,1.8
184,1.8
185,1.8
186,1.8
187,1.8
188,1.8
189,1.8
190,1.8
191,1.8
192,1.8
193,1.8
194,1.8
195,1.8
196,1.8
197,1.8
198,1.8
199,1.8
200,1.8
201,1.8
202,1.8
203,1.8
204,1.8
205,1.8
206,1.8
207,1.8
208,1.8
209,1.8
210,1.8
211,1.8
212,1.8
213,1.8
214,1.8
215,1.8
216,1.8
217,1.8
218,1.8
219,1.8
220,1.8
221,1.8
222,1.8
223,1.8
224,1.8
225,1.8
226,1.8
227,1.8
228,1.8
229,1.8
230,1.8
231,1.8
232,1.8
233,1.8
234,1.8
235,1.8
236,1.8
237,1.8
238,1.8
239,1.8
240,1.8
241,1.8
242,1.8
243,1.8
244,1.8
245,1.8
246,1.8
247,1.8
248,1.8
249,1.8
250,1.8
251,1.8
252,1.8
253,1.8
254,1.8
255,1.8
256,1.8
257,1.8
258,1.8
259,1.8
260,1.8
261,1.8
262,1.8
263,1.8
264,1.8
265,1.8
266,1.8
267,1.8
268,1.8
269,1.8
270,1.8
271,1.8
272,1.8
273,1.8
274,1.8
275,1.8
276,1.8
277,1.8
278,1.8
279,1.8
280,1.8
281,1.8
282,1.8
283,1.8
284,1.8
285,1.8
286,1.8
287,1.8
288,1.8
289,1.8
290,1.8
291,1.8
292,1.8
293,1.8
294,1.8
295,1.8
296,1.8
297,1.8
298,1.8
299,1.8
300,1.8
301,1.8
302,1.8
303,1.8
304,1.8
305,1.8
306,1.8
307,1.8
308,1.8
309,1.8
310,1.8
311,1.8
312,1.8
313,1.8
314,1.8
315,1.8
316,1.8
317,1.8
318,1.8
319,1.8
320,1.8
321,1.8
322,1.8
323,1.8
324,1.8
325,1.8
326,1.8
327,1.8
328,1.8
329,1.8
330,1.8
331,1.8
332,1.8
333,1.8
334,1.8
335,1.8
336,1.8
337,1.8
338,1.8
339,1.8
340,1.8
341,1.8
342,1.8
343,1.8
344,1.8
345,1.8
346,1.8
347,1.8
348,1.8
349,1.8
350,1.8
351,1.8
352,1.8
353,1.8
354,1.8
355,1.8
356,1.8
357,1.8
358,1.8
359,1.8
360,1.8
361,1.8
362,1.8
363,1.8
364,1.8
365,1.8
366,1.8
367,1.8
368,1.8
369,1.8
370,1.8
371,1.8
372,1.8
373,1.8
374,1.8
375,1.8
376,1.8
377,1.8
378,1.8
379,1.8
380,1.8
381,1.8
382,1.8
383,1.8
384,1.8
385,1.8
386,1.8
387,1.8
388,1.8
389,1.8
390,1.8
391,1.8
392,1.8
393,1.8
394,1.8
395,1.8
396,1.8
397,1.8
398,1.8
399,1.8
400,1.8
401,1.8
402,1.8
403,1.8
404,1.8
405,1.8
406,1.8
407,1.8
408,1.8
409,1.8
410,1.8
411,1.8
412,1.8
413,1.8
414,1.8
415,1.8
416,1.8
417,1.8
418,1.8
419,1.8
420,1.8
421,1.8
422,1.8
423,1.8
424,1.8
425,1.8
426,1.8
427,1.8
428,1.8
429,1.8
430,1.8
431,1.8
432,1.8
433,1.8
434,1.8
435,1.8
436,1.8
437,1.8
438,1.8
439,1.8
440,1.8
441,1.8
442,1.8
443,1.8
444,1.8
445,1.8
446,1.8
447,1.8
448,1.8
449,1.8
450,1.8
451,1.8
452,1.8
453,1.8
454,1.8
455,1.8
456,1.8
457,1.8
458,1.8
459,1.8
460,1.8
461,1.8
462,1.8
463,1.8
464,1.8
465,1.8
466,1.8
467,1.8
468,1.8
469,1.8
470,1.8
471,1.8
472,1.8
473,1.8
474,1.8
475,1.8
476,1.8
477,1.8
478,1.8
479,1.8
480,1.8
481,1.8
482,1.8
483,1.8
484,1.8
485,1.8
486,1.8
487,1.8
488,1.8
489,1.8
490,1.8
491,1.8
492,1.8
493,1.8
494,1.8
495,1.8
496,1.8
497,1.8
498,1.8
499,1.8
500,1.8
501,1.8
502,1.8
503,1.8
504,1.8
505,1.8
506,1.8
507,1.8
508,1.8
509,1.8
510,1.8
511,1.8
512,1.8
513,1.8
514,1.8
515,1.8
516,1.8
517,1.8
518,1.8
519,1.8
520,1.8
521,1.8
522,1.8
523,1.8
524,1.8
525,1.8
526,1.8
527,1.8
528,1.8
529,1.8
530,1.8
531,1.8
532,1.8
533,1.8
534,1.8
535,1.8
536,1.8
537,1.8
538,1.8
539,1.8
540,1.8
541,1.8
542,1.8
543,1.8
544,1.8
545,1.8
546,1.8
547,1.8
548,1.8
549,1.8
550,1.8
551,1.8
552,1.8
553,1.8
554,1.8
555,1.8
556,1.8
557,1.8
558,1.8
559,1.8
560,1.8
561,1.8
562,1.8
563,1.8
564,1.8
565,1.8
566,1.8
567,1.8
568,1.8
569,1.8
570,1.8
571,1.8
572,1.8
573,1.8
574,1.8
575,1.8
576,1.8
577,1.8
578,1.8
579,1.8
580,1.8
581,1.8
582,1.8
583,1.8
584,1.8
585,1.8
586,1.8
587,1.8
588,1.8
589,1.8
590,1.8
591,1.8
592,1.8
593,1.8
594,1.8
595,1.8
596,1.8
597,1.8
598,1.8
599,1.8
600,1.8
601,1.8
602,1.8
603,1.8
604,1.8
605,1.8
606,1.8
607,1.8
608,1.8
609,1.8
610,1.8
611,1.8
612,1.8
613,1.8
614,1.8
615,1.8
616,1.8
617,1.8
618,1.8
619,1.8
620,1.8
621,1.8
622,1.8
623,1.8
624,1.8
625,1.8
626,1.8
627,1.8
628,1.8
629,1.8
630,1.8
631,1.8
632,1.8
633,1.8
634,1.8
635,1.8
636,1.8
637,1.8
638,1.8
639,1.8
640,1.8
641,1.8
642,1.8
643,1.8
644,1.8
645,1.8
646,1.8
647,1.8
648,1.8
649,1.8
650,1.8
651,1.8
652,1.8
653,1.8
654,1.8
655,1.8
656,1.8
657,1.8
658,1.8
659,1.8
660,1.8
661,1.8
662,1.8
663,1.8
664,1.8
665,1.8
666,1.8
667,1.8
668,1.8
669,1.8
670,1.8
671,1.8
672,1.8
673,1.8
674,1.8
675,1.8
676,1.8
677,1.8
678,1.8
679,1.8
680,1.8
681,1.8
682,1.8
683,1.8
684,1.8
685,1.8
686,1.8
687,1.8
688,1.8
689,1.8
690,1.8
691,1.8
692,1.8
693,1.8
694,1.8
695,1.8
696,1.8
697,1.8
698,1.8
699,1.8
700,1.8
701,1.8
702,1.8
703,1.8
704,1.8
705,1.8
706,1.8
707,1.8
708,1.8
709,1.8
710,1.8
711,1.8
712,1.8
713,1.8
714,1.8
715,1.8
716,1.8
717,1.8
718,1.8
719,1.8
720,1.8
721,1.8
722,1.8
723,1.8
724,1.8
725,1.8
726,1.8
727,1.8
728,1.8
729,1.8
730,1.8
731,1.8
732,1.8
733,1.8
734,1.8
735,1.8
736,1.8
737,1.8
738,1.8
739,1.8
740,1.8
741,1.8
742,1.8
743,1.8
744,1.8
745,1.8
746,1.8
747,1.8
748,1.8
749,1.8
750,1.8
751,1.8
752,1.8
753,1.8
754,1.8
755,1.8
756,1.8
757,1.8
758,1.8
759,1.8
760,1.8
761,1.8
762,1.8
763,1.8
764,1.8
765,1.8
766,1.8
767,1.8
768,1.8
769,1.8
770,1.8
771,1.8
772,1.8
773,1.8
774,1.8
775,1.8
776,1.8
777,1.8
778,1.8
779,1.8
780,1.8
781,1.8
782,1.8
783,1.8
784,1.8
785,1.8
786,1.8
787,1.8
